Raw RH Runs
Rows,Hits,Seed,Flips,Flip %,TRR Commands,Total Energy,Refresh Energy,TRR Energy,Write Energy,Read Energy,Activation Energy,Average Read Latency
50,200000,2,0,0.0,3050,1482052067443.2,225171201024.0,3246566400.0,0.0,88995669196.79999,85818559680.0,92.14137572120636
50,200000,3,0,0.0,3050,1482048165580.7998,225171201024.0,3246566400.0,0.0,88991655782.4,85818768000.0,92.13493117023968
50,200000,4,0,0.0,3050,1482051490646.4,225171201024.0,3246566400.0,0.0,88995214848.0,85818324480.0,92.13978092096714
50,200000,5,0,0.0,3050,1482051714432.0,225171201024.0,3246566400.0,0.0,88994586777.59999,85819903680.0,92.13151191972679
50,200000,6,0,0.0,3050,1482050609088.0,225171201024.0,3246566400.0,0.0,88993317273.59999,85820206080.0,92.13246706987006
50,200000,7,0,0.0,3050,1482047541580.7998,225171201024.0,3246566400.0,0.0,88990720358.4,85819339200.0,92.13134891970233
50,200000,8,0,0.0,3050,1482050615846.4,225171201024.0,3246566400.0,0.0,88993722624.0,85819480320.0,92.1361453704218
50,200000,9,0,0.0,3050,1482051760368.0,225171201024.0,3246566400.0,0.0,88994720409.59999,85819742400.0,92.13498577024787
50,200000,10,0,0.0,3050,1482050380329.5999,225171201024.0,3246566400.0,0.0,88993780531.2,85818929280.0,92.13624652043698

RH Runs with Increased Refresh Rate
Rows,Hits,Seed,Refresh Multiplier,Flips,Flip%,TRR Commands,Total Energy,Refresh Energy,TRR Energy,Write Energy,Read Energy,Activation Energy,Average Read Latency
20,100000,10,16,8,0.4,0,939197966985.6,720548269056.0,0.0,0.0,17500705075.199997,5450531520.0,391.96282939778087
20,100000,10,2,16,0.8,0,338677783920.0,90068267520.0,0.0,0.0,17781425817.6,16418512320.0,109.98704424028318
20,100000,10,4,15,0.75,0,424526461603.19995,180136535040.0,0.0,0.0,17747429836.8,14954190720.0,143.56075778037888
20,100000,10,8,8,0.4,0,596259309619.2,360274134528.0,0.0,0.0,17674533580.8,12104225280.0,216.2847949271924
20,100000,1,16,2,0.1,0,939192418588.8,720548269056.0,0.0,0.0,17494883174.399998,5451048960.0,392.22062910673003
20,100000,1,2,12,0.6,0,338676942912.0,90068267520.0,0.0,0.0,17780579481.6,16418532480.0,109.97353998015498
20,100000,1,4,16,0.8,0,424525165392.0,180136535040.0,0.0,0.0,17745590169.6,14955218880.0,143.5599887799944
20,100000,1,8,7,0.35,0,596255927174.4,360274134528.0,0.0,0.0,17671139328.0,12104225280.0,216.28465942698915
20,100000,2,16,1,0.05,0,939204605232.0,720548269056.0,0.0,0.0,17508259737.6,5448797760.0,392.0465053778898
20,100000,2,2,5,0.25,0,338678974713.6,90068267520.0,0.0,0.0,17782713139.199997,16418337600.0,109.97929073446805
20,100000,2,4,5,0.25,0,424528402204.7999,180136535040.0,0.0,0.0,17749452134.399998,14954036160.0,143.56728953364475
20,100000,2,8,6,0.3,0,596262644064.0,360274134528.0,0.0,0.0,17677883289.6,12104184960.0,216.3004992007488
20,100000,3,16,6,0.3,0,939191353334.4,720548269056.0,0.0,0.0,17493341952.0,5451949440.0,392.0152235266412
20,100000,3,2,14,0.7,0,338676571737.6,90068267520.0,0.0,0.0,17779995955.199997,16418942400.0,109.97272622954468
20,100000,3,4,16,0.8,0,424524333782.39996,180136535040.0,0.0,0.0,17744904192.0,14954943360.0,143.55773852886927
20,100000,3,8,14,0.7,0,596254337750.4,360274134528.0,0.0,0.0,17669424384.0,12104453760.0,216.28160042240063
20,100000,4,16,6,0.3,0,939200483395.2001,720548269056.0,0.0,0.0,17504219596.8,5448643200.0,391.9494738610531
20,100000,4,2,14,0.7,0,338677821033.6,90068267520.0,0.0,0.0,17781532723.199997,16418384640.0,109.98553448915087
20,100000,4,4,13,0.65,0,424527585379.19995,180136535040.0,0.0,0.0,17748120268.8,14955010560.0,143.5668727834364
20,100000,4,8,11,0.55,0,596261047785.6,360274134528.0,0.0,0.0,17676230707.199997,12104285760.0,216.29838344757516
20,100000,5,16,5,0.25,0,939194138544.0,720548269056.0,0.0,0.0,17496500121.6,5451243840.0,392.09053865844265
20,100000,5,2,13,0.65,0,338677360051.19995,90068267520.0,0.0,0.0,17780882380.8,16418747520.0,109.98703074027306
20,100000,5,4,12,0.6,0,424525499836.8,180136535040.0,0.0,0.0,17746311782.399998,14954486400.0,143.55999577999788
20,100000,5,8,7,0.35,0,596257640515.2,360274134528.0,0.0,0.0,17672952268.8,12104057280.0,216.2797719196579
20,100000,6,16,3,0.15,0,939205235308.8,720548269056.0,0.0,0.0,17508981350.399998,5448629760.0,391.95242241673924
20,100000,6,2,10,0.5,0,338678686483.2,90068267520.0,0.0,0.0,17782508236.8,16418169600.0,109.987211990409
20,100000,6,4,11,0.55,0,424528742064.0,180136535040.0,0.0,0.0,17749376409.6,14954822400.0,143.57027603513802
20,100000,6,8,4,0.2,0,596263195276.8,360274134528.0,0.0,0.0,17678649446.399998,12103795200.0,216.29176343764516
20,100000,7,16,3,0.15,0,939195496704.0,720548269056.0,0.0,0.0,17498393241.6,5450235840.0,391.944569152996
20,100000,7,2,13,0.65,0,338677935129.6,90068267520.0,0.0,0.0,17781465907.199997,16418720640.0,109.99765224823919
20,100000,7,4,12,0.6,0,424526891568.0,180136535040.0,0.0,0.0,17747483289.6,14954903040.0,143.56484828242415
20,100000,7,8,8,0.4,0,596259249148.8,360274134528.0,0.0,0.0,17674506854.399998,12104151360.0,216.28984243476364
20,100000,8,16,4,0.2,0,939189064300.8,720548269056.0,0.0,0.0,17491609190.399998,5450901120.0,392.1729753027068
20,100000,8,2,14,0.7,0,338677134499.19995,90068267520.0,0.0,0.0,17780637388.8,16418787840.0,109.98384473788356
20,100000,8,4,13,0.65,0,424525442524.7999,180136535040.0,0.0,0.0,17745888614.399998,14955178560.0,143.561198030599
20,100000,8,8,8,0.4,0,596256578851.2,360274134528.0,0.0,0.0,17671816396.8,12104191680.0,216.27961091941637
20,100000,9,16,8,0.4,0,939204333782.4,720548269056.0,0.0,0.0,17507796480.0,5449160640.0,392.0733307016594
20,100000,9,2,16,0.8,0,338678782492.8,90068267520.0,0.0,0.0,17782526054.399998,16418330880.0,109.9766097324573
20,100000,9,4,16,0.8,0,424527767779.19995,180136535040.0,0.0,0.0,17748231628.8,14955144960.0,143.56784903392452
20,100000,9,8,11,0.55,0,596260839024.0,360274134528.0,0.0,0.0,17676235161.6,12103896000.0,216.28838918258378
20,200000,10,16,14,0.7,0,1878402527385.5999,1441097602560.0,0.0,0.0,35007655219.2,10899598080.0,391.9544204601179
20,200000,10,2,29,1.45,0,677356498368.0,180136535040.0,0.0,0.0,35563769241.6,32836695360.0,109.98432899608225
20,200000,10,4,30,1.5,0,849056419507.2,360274134528.0,0.0,0.0,35496788428.799995,29909281920.0,143.5655733698767
20,200000,10,8,29,1.45,0,1192521315148.8,720548269056.0,0.0,0.0,35351971430.399994,24207852480.0,216.28530298198862
20,200000,1,16,12,0.6,0,1878391511366.4,1441097602560.0,0.0,0.0,34996060416.0,10900680000.0,392.14886923665193
20,200000,1,2,23,1.15,0,677355340924.7999,180136535040.0,0.0,0.0,35562464102.399994,32836984320.0,109.98065274516318
20,200000,1,4,24,1.2,0,849053976787.2,360274134528.0,0.0,0.0,35494093516.799995,29909759040.0,143.56262061729305
